"","Title","Author l-f","ISBN13","Date Borrowed","Year Read","Author","Additional Authors","ISBN10","Number of Pages","Year Published","Original Publication Year","Date Read","User Genre","Fiction Status","User Tags","Ownership Status","Buy?"
"1","Drowned","Bohman, Therese","9781590515259","08/27/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Among Others","Walton, Jo",NA,"08/27/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","The Iron Knight","Kagawa, Julie","9781460800805","08/27/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Truly Devious","Johnson, Maureen","9780062338075","08/25/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","The House Is on Fire","Beanland, Rachel","9781982186166","08/25/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","The Secret, Book & Scone Society","Adams, Ellery","9781496712394","08/25/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","The Intruder","Blauner, Peter","9781504072823","08/25/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","A Game of Fate","Clair, St., Scarlett","9781728258492","08/25/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Don't Believe It","Donlea, Charlie","9780786042234","08/25/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Restart","Korman, Gordon","9781338053784","08/25/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Iron Daughter","Kagawa, Julie","9781742785639","08/24/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","The Iron Knight","Kagawa, Julie","9781460800805","08/24/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","The Iron Queen","Kagawa, Julie","9781742901220","08/23/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Oval","Wilk, Elvia","9781593764340","08/23/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","The Iron King","Kagawa, Julie",NA,"08/23/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","The Iron Daughter","Kagawa, Julie","9781742785639","08/23/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Getting It Right","Arthur, A.M.","9781426899577","08/22/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Shine","Maryon, Kate","9780007351961","08/18/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Fixers","Thomas, M., Michael","9781612194998","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Codex","Grossman, Lev",NA,"08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Aleph","Coelho, Paulo","9780307957016","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Everlasting Lane","Lovett, Andrew","9781612193816","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Among Others","Walton, Jo",NA,"08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","The Waiting Rooms","Smith, Eve","9781913193270","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Drowned","Bohman, Therese","9781590515259","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Blood and Moonlight","Beaty, Erin","9781250755827","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Oval","Wilk, Elvia","9781593764340","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","The Iron King","Kagawa, Julie",NA,"08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Getting It Right","Arthur, A.M.","9781426899577","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Guilty","McClintock, Norah","9781554699933","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","In the Face of the Sun","Bryce, S., Denny","9781496730114","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Lost in the Moment and Found","McGuire, Seanan","9781250213648","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Don't Believe It","Donlea, Charlie","9780786042234","08/11/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","The Immortalists","Benjamin, Chloe","9780735213197","03/18/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Vanishing Girls","Oliver, Lauren","9780062224125","03/18/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","One More Thing","Novak, J., B.","9780385351843","03/18/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","First Light","Stead, Rebecca","9780307495471","03/18/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Heroes of the Frontier","Eggers, Dave","9780451493811","03/18/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","The Immortalists","Benjamin, Chloe","9780735213197","03/04/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Vanishing Girls","Oliver, Lauren","9780062224125","03/04/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","One More Thing","Novak, J., B.","9780385351843","03/04/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","First Light","Stead, Rebecca","9780307495471","03/04/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Heroes of the Frontier","Eggers, Dave","9780451493811","03/04/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","The Man I Married","Wilkes, Elena","9781912973491","03/02/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Bewilderment","Powers, Richard","9780393881158","02/24/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Idaho","Ruskovich, Emily","9780812994056","02/24/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","The Butterfly Girl","Denfeld, Rene","9780062698186","02/24/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","The Chemist","Meyer, Stephenie","9780316387859","02/24/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Awake","Preston, Natasha","9781492618539","02/24/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Providence","McGuire, Jamie","9781465932266","02/21/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Attachments","Rowell, Rainbow","9781101476345","02/19/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Blob","Wishinsky, Frieda","9781554694440","02/19/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Witchtown","Oakes, Putman, Cory","9781328698902","02/10/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","The Freak Observer","Woolston, Blythe",NA,"02/07/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","No Safety In Numbers","Lorentz, Dayna","9781101585597","02/07/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Where Secrets Lie","Gibson, V., Eva","9781534451247","02/07/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Ashes","Bick, J., Ilsa","9781512403312","02/07/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Unlikely Animals","Hartnett, Annie","9780593160237","02/05/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Colorful","Mori, Eto","9781640094437","02/05/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Part of the Family","Philby, Charlotte","9780008327002","02/05/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","After the Sun","Eika, Jonas","9780593329115","02/05/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","The Dark Net","Percy, Benjamin","9780544750579","02/04/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Consent","Lyon, Annabel","9780593318010","02/04/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Snowflake","Nealon, Louise","9780063073951","02/04/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","For Nobody's Eyes Only","Redfern, Nick","9781601635037","02/04/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Adrenaline","Abbott, Jeff","9780446575195","01/31/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","The Third Twin","Follett, Ken","9780307775108","01/31/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","A Knife Edge","Rollins, David","9780553906233","01/31/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Verify","Charbonneau, Joelle","9780062803641","01/29/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","The Girl Who Wasn't There","Joelson, Penny","9781492698869","01/29/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Suggested Reading","Connis, Dave","9780062685278","01/29/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Time Bomb","Charbonneau, Joelle","9781328476869","01/28/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","The Child Finder","Denfeld, Rene","9780062659071","01/28/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Death by Bubble Tea","Chow, J., Jennifer","9780593336540","01/28/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Unlikely Animals","Hartnett, Annie","9780593160237","01/22/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Colorful","Mori, Eto","9781640094437","01/22/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Part of the Family","Philby, Charlotte","9780008327002","01/22/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","After the Sun","Eika, Jonas","9780593329115","01/22/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","The Dark Net","Percy, Benjamin","9780544750579","01/21/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Consent","Lyon, Annabel","9780593318010","01/21/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","My Not So Perfect Life","Kinsella, Sophie","9780812998276","01/21/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Snowflake","Nealon, Louise","9780063073951","01/21/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","For Nobody's Eyes Only","Redfern, Nick","9781601635037","01/21/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Constellations of Eve","Rosewood, Nguyen, Abbigail","9781682831380","01/21/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Julie Kagawa","Kagawa, Julie",NA,"01/21/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Torn Away","Heneghan, James","9781554695492","01/21/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","The Leveller","Durango, Julia","9780062314024","01/21/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","No Exit","Adams, Taylor","9780062875679","01/21/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","The Girl Who Survived","Jackson, Lisa","9781496737434","01/21/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Five Total Strangers","Richards, D., Natalie","9781492657224","01/21/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Barney's Version","Richler, Mordecai","9780307813473","01/21/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Station Eleven","Mandel, John, St., Emily","9780385353311","01/20/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Hot Rocks","Roberts, Nora","9781101171578","01/20/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Eleanor Oliphant Is Completely Fine","Honeyman, Gail","9780735220706","01/20/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","The Operative","Britton, Andrew","9780786032136","01/20/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Something in the Water","Steadman, Catherine","9781524797195","01/20/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","French Braid","Tyler, Anne","9780593321102","01/20/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Australia's Security in China's Shadow","Graham, Euan","9781032546605",NA,2023,NA,NA,NA,NA,NA,NA,NA,"defense;australia","non-fiction",NA,NA,NA
"99","The Science of Paintings","Taft, Stanley","9780387987224",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,"non-fiction",NA,NA,"y"
"100","College: What It Was, Is, And Should Be","Delbanco, Andrew","9780691158297",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,"non-fiction",NA,NA,NA
"101","The Success of Open Source","Weber, Steven","9780674018587",NA,2022,NA,NA,NA,NA,NA,NA,NA,"computer-science","non-fiction",NA,NA,NA
"102","Kill It With Fire","Bellotti, Marianne","9781718501188",NA,2022,NA,NA,NA,NA,NA,NA,NA,"computer-science","non-fiction",NA,NA,NA
"103","Introduction to Radar Systems","Skolnik, Merrill",NA,NA,2022,NA,NA,"70579091",NA,NA,NA,NA,"physics","non-fiction",NA,"own-physical",NA
"104","Astronomical Algorithms","Meeus, Jean","9780943396613",NA,2023,NA,NA,NA,NA,NA,NA,NA,"astronomy","non-fiction",NA,NA,NA
"105","Visual Explanations","Tufte, Edward",NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,"science;research","non-fiction",NA,NA,NA
"106","Statistical Techniques for Data Analysis","Taylor, John Keenan",NA,NA,2023,NA,NA,"873712501",NA,NA,NA,NA,"data-science","non-fiction",NA,NA,NA
"107","Pattern Classification and Scene Analysis","Duda, Richard",NA,NA,2022,NA,NA,"47122361",NA,NA,NA,NA,"data-science;computer-science","non-fiction",NA,NA,NA
"108","Prediction Machines","Agrawal, Ajay","9781633695672",NA,2023,NA,NA,NA,NA,NA,NA,NA,"data-science;computer-science","non-fiction",NA,NA,NA
"109","Mastering Shiny","Wickham, Hadley","9781492047384",NA,2022,NA,NA,NA,NA,NA,NA,NA,"data-science","non-fiction",NA,NA,NA
"110","Web Scraping for Python","Mitchell, Ryan","9781491910290",NA,2022,NA,NA,NA,NA,NA,NA,NA,"data-science","non-fiction",NA,NA,NA
"111","Deep Learning with Python","Challet, Francois","9781617294433",NA,2023,NA,NA,NA,NA,NA,NA,NA,"data-science","non-fiction",NA,NA,NA
"112","Data Driven Statistical Methods","Sprent, Peter","9780412795404",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Ontological Engineering","Gomez-Perez, Asuncion","9781852335519",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Artificial Intelligence: 101 Things You Must Know Today About Our Future","Rouhiainen, Lasse","9781982048808",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Data Science","Kelleher, John","9780262535434",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"y"
"116","Clean Code","Martin, Robert","9780132350884",NA,2023,NA,NA,NA,NA,NA,NA,NA,"computer-science",NA,NA,NA,NA
"117","R Cookbook","Long, J D","9781492040682",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Algorithms","Sedgewick, Robert",NA,NA,2023,NA,NA,"201066726",NA,NA,NA,NA,"computer-science",NA,NA,NA,NA
"119","Outstanding User Interfaces with Shiny","Granjon, David","9780367643652",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Bayesian Reasoning and Machine Learning","Barber, David","9780521518147",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Neural Networks: A Comprehensive Foundation","Haykin, Simon",NA,NA,2022,NA,NA,"23527617",NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Handbook of Natural Language Processing","Indukhya, Nitin","9781420085921",NA,2022,NA,NA,NA,NA,NA,NA,NA,"computer-science",NA,NA,"own-physical",NA
"123","Pattern Classification","Duda, Richard",NA,NA,2022,NA,NA,"471056693",NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Essential Statistics","Triola, Mario","9780321924599",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Artificial Intelligence: A Modern Approach","Russell, Stuart","9780136042594",NA,2023,NA,"Peter Norvig","0136042597",1152,2009,1994,NA,"data-science","non-fiction","college","own-physical",NA
"126","Data Mining: Practical Machine Learning Tools and Techniques (Morgan Kaufmann Series in Data Management Systems)","Witten, Ian H.","9780128042915",NA,2022,NA,"Eibe Frank, Mark A. Hall, Christopher J. Pal","0128042915",654,2016,1999,NA,"data-science","non-fiction","college","own-physical",NA
"127","An Introduction to Galaxies and Cosmology","Jones, Mark H.","9781107492615",NA,2018,NA,"Robert J. A. Lambourne, Stephen Serjeant","1107492610",450,2015,2004,NA,"astronomy","non-fiction","college","own-physical",NA
"128","The Philosophical Breakfast Club: Four Remarkable Friends Who Transformed Science and Changed the World","Snyder, Laura J.","9780767930482",NA,2018,NA,NA,"0767930487",448,2011,2011,NA,"science","non-fiction","college",NA,"y"
"129","Physics: Volume 1: Asia-Pacific Edition (Physics, #1)","Serway, Raymond A.","9780170189309",NA,2018,NA,"John W. Jewett Jr., Kate  Wilson, Anna Wilson",NA,556,2012,2012,NA,"physics","non-fiction","college","own-physical",NA
"130","Understanding Machine Learning: From Theory To Algorithms","INDIA, CAMBRIDGE","9781107512825",NA,2023,NA,NA,"1107512824",NA,2015,2014,NA,"data-science","non-fiction","college","own-physical",NA
"131","Mathematics for Machine Learning","Deisenroth, Marc","9781108455145",NA,2022,NA,"A. Aldo Faisal, Cheng Soon Ong","110845514X",398,2020,2020,NA,"data-science","non-fiction","college","own-physical",NA
"132","An Introduction to the Sun and Stars","Green, Simon","9.78111e+12",NA,2018,NA,"Mark Jones","1107492637",380,NA,2015,NA,"astronomy","non-fiction","college","own-physical",NA
"133","Elsewhere","Zevin, Gabrielle","9.78031e+12",NA,2016,NA,NA,"312367465",277,2007,2005,NA,NA,NA,NA,NA,NA
"134","An Abundance of Katherines","Green, John","9780525476887",NA,2014,NA,NA,"0525476881",229,2006,2006,NA,NA,NA,NA,NA,NA
"135","Eggs","Spinelli, Jerry","9780316166461",NA,2016,NA,NA,"0316166464",224,2007,2007,NA,NA,NA,NA,NA,NA
"136","Angel Cake","Cassidy, Cathy","9780141384788",NA,2014,NA,NA,"0141384786",224,2009,2009,NA,NA,NA,NA,NA,NA
"137","BOUND (#1 in The Crystor Series)","Bryant, C.K.","9781465791498",NA,2014,NA,NA,NA,NA,2011,2011,NA,NA,NA,NA,NA,NA
"138","Breath of Life (The Gaian Consortium #2)","Pope, Christine",NA,NA,2015,NA,NA,NA,130,2011,2011,NA,NA,NA,NA,NA,NA
"139","Clockwise (Clockwise, #1)","Strauss, Elle","9.78147e+12",NA,2015,NA,NA,"1466440961",285,2015,2011,NA,NA,NA,NA,NA,NA
"140","Deep Blue Secret (The Water Keepers, #1)","Anderson, Christie","9781476298061",NA,2015,NA,NA,"1463768591",358,2012,2011,NA,NA,NA,NA,NA,NA
"141","City of the Falling Sky (Seckry Sequence, #1)","Evans, Joseph","9780957291201",NA,2016,NA,NA,"0957291205",392,2012,2011,NA,NA,NA,NA,NA,NA
"142","Entangled","Clarke, Cat","9.78185e+12",NA,2016,NA,NA,"1849163944",385,2017,2011,NA,NA,NA,NA,NA,NA
"143","A Corner of White (The Colours of Madeleine, #1)","Moriarty, Jaclyn","9780545397360",NA,2014,NA,NA,"0545397367",375,2013,2012,NA,NA,NA,NA,NA,NA
"144","A French Girl in New York (The French Girl #1)","Adams, Anna","9781301560776",NA,2015,NA,NA,NA,362,2013,2012,NA,NA,NA,NA,NA,NA
